# nlayers	|E|^2	slope
0.000000000000000000e+00	6.408294458241751146e-01	-1.823684052265939215e-02
1.000000000000000000e+00	5.948913103289410476e-01	-1.823684052265939215e-02
2.000000000000000000e+00	5.523288959418749533e-01	-1.823684052265939215e-02
3.000000000000000000e+00	5.128940768883532009e-01	-1.823684052265939215e-02
4.000000000000000000e+00	4.763557848250133953e-01	-1.823684052265939215e-02
5.000000000000000000e+00	4.424988582181345609e-01	-1.823684052265939215e-02
6.000000000000000000e+00	4.111229854595156441e-01	-1.823684052265939215e-02
7.000000000000000000e+00	3.820417336771212424e-01	-1.823684052265939215e-02
8.000000000000000000e+00	3.550816556424650772e-01	-1.823684052265939215e-02
9.000000000000000000e+00	3.300814676095723543e-01	-1.823684052265939215e-02
1.000000000000000000e+01	3.068912913439177936e-01	-1.823684052265939215e-02
1.100000000000000000e+01	2.853719540159353474e-01	-1.823684052265939215e-02
1.200000000000000000e+01	2.653943400441153289e-01	-1.823684052265939215e-02
1.300000000000000000e+01	2.468387893783700882e-01	-1.823684052265939215e-02
1.400000000000000000e+01	2.295945371159264503e-01	-1.823684052265939215e-02
1.500000000000000000e+01	2.135591897397254857e-01	-1.823684052265939215e-02
1.600000000000000000e+01	1.986382336630138079e-01	-1.823684052265939215e-02
1.700000000000000000e+01	1.847445721530496521e-01	-1.823684052265939215e-02
1.800000000000000000e+01	1.717980870907991064e-01	-1.823684052265939215e-02
1.900000000000000000e+01	1.597252224011274091e-01	-1.823684052265939215e-02
2.000000000000000000e+01	1.484585863580095144e-01	-1.823684052265939215e-02
2.100000000000000000e+01	1.379365703302105617e-01	-1.823684052265939215e-02
2.200000000000000000e+01	1.281029818831193878e-01	-1.823684052265939215e-02
2.300000000000000000e+01	1.189066904902275623e-01	-1.823684052265939215e-02
2.400000000000000000e+01	1.103012844313594060e-01	-1.823684052265939215e-02
2.500000000000000000e+01	1.022447377623793563e-01	-1.823684052265939215e-02
2.600000000000000000e+01	9.469908653096775764e-02	-1.823684052265939215e-02
2.700000000000000000e+01	8.763011368344995888e-02	-1.823684052265939215e-02
2.800000000000000000e+01	8.100704235699608680e-02	-1.823684052265939215e-02
2.900000000000000000e+01	7.480223747830733183e-02	-1.823684052265939215e-02
3.000000000000000000e+01	6.899091579287941478e-02	-1.823684052265939215e-02
3.100000000000000000e+01	6.355086462699201244e-02	-1.823684052265939215e-02
3.200000000000000000e+01	5.846216983684452556e-02	-1.823684052265939215e-02
3.300000000000000000e+01	5.370695352512283582e-02	-1.823684052265939215e-02
3.400000000000000000e+01	4.926912220438904588e-02	-1.823684052265939215e-02
3.500000000000000000e+01	4.513412615894821928e-02	-1.823684052265939215e-02
3.600000000000000000e+01	4.128873080248329080e-02	-1.823684052265939215e-02
3.700000000000000000e+01	3.772080084825440299e-02	-1.823684052265939215e-02
3.800000000000000000e+01	3.441909810282248877e-02	-1.823684052265939215e-02
3.900000000000000000e+01	3.137309366415674122e-02	-1.823684052265939215e-02
4.000000000000000000e+01	2.857279525196578310e-02	-1.823684052265939215e-02
4.100000000000000000e+01	2.600859032376750396e-02	-1.823684052265939215e-02
4.200000000000000000e+01	2.367110553643165041e-02	-1.823684052265939215e-02
4.300000000000000000e+01	2.155108300176800107e-02	-1.823684052265939215e-02
4.400000000000000000e+01	1.963927365845851217e-02	-1.823684052265939215e-02
4.500000000000000000e+01	1.792634794367926540e-02	-1.823684052265939215e-02
4.600000000000000000e+01	1.640282379869844459e-02	-1.823684052265939215e-02
4.700000000000000000e+01	1.505901188624289219e-02	-1.823684052265939215e-02
4.800000000000000000e+01	1.388497773623629562e-02	-1.823684052265939215e-02
4.900000000000000000e+01	1.287052037340018044e-02	-1.823684052265939215e-02
5.000000000000000000e+01	1.200516681793607245e-02	-1.823684052265939215e-02
5.100000000000000000e+01	1.127818169179828009e-02	-1.823684052265939215e-02
5.200000000000000000e+01	1.067859101056201770e-02	-1.823684052265939215e-02
5.300000000000000000e+01	1.019521909711875590e-02	-1.823684052265939215e-02
5.400000000000000000e+01	9.816737420768696654e-03	-1.823684052265939215e-02
5.500000000000000000e+01	9.531724045924684294e-03	-1.823684052265939215e-02
5.600000000000000000e+01	9.328732270580168684e-03	-1.823684052265939215e-02
5.700000000000000000e+01	9.196366947673732112e-03	-1.823684052265939215e-02
5.800000000000000000e+01	9.123366913992344424e-03	-1.823684052265939215e-02
5.900000000000000000e+01	9.098691902501346990e-03	-1.823684052265939215e-02
