# d	wl	calculated  coeff	theoretical value	ratio
5.000000000000000000e+00	6.000000000000000000e+02	1.003219820142800811e-01	9.141913037574590783e-02	1.097384995918711637e+00
5.000000000000000000e+00	8.000000000000000000e+02	9.961827397750039337e-02	9.077787134687567705e-02	1.097384995918710526e+00
5.000000000000000000e+00	1.000000000000000000e+03	9.929254909904218496e-02	9.048105219983960945e-02	1.097384995918716744e+00
5.000000000000000000e+00	1.200000000000000000e+03	9.911515605841385301e-02	9.031940151089472291e-02	1.097384995918713413e+00
5.000000000000000000e+00	1.400000000000000000e+03	9.900078235956473460e-02	9.021517765210827766e-02	1.097384995918712081e+00
5.000000000000000000e+00	1.600000000000000000e+03	9.887027767147978097e-02	9.009625431292425657e-02	1.097384995918713635e+00
5.000000000000000000e+00	1.800000000000000000e+03	9.852607433765404876e-02	8.978259654003188650e-02	1.097384995918709638e+00
5.000000000000000000e+00	2.000000000000000000e+03	9.748424809441882943e-02	8.883322485451576600e-02	1.097384995918712303e+00
5.000000000000000000e+00	2.200000000000000000e+03	9.485390760828905921e-02	8.643630809703088669e-02	1.097384995918715411e+00
5.000000000000000000e+00	2.400000000000000000e+03	8.949673998744556158e-02	8.155455042696327372e-02	1.097384995918712969e+00
1.000000000000000000e+01	6.000000000000000000e+02	1.003219820142802199e-01	9.141913037574590783e-02	1.097384995918712969e+00
1.000000000000000000e+01	8.000000000000000000e+02	9.961827397750040725e-02	9.077787134687567705e-02	1.097384995918710748e+00
1.000000000000000000e+01	1.000000000000000000e+03	9.929254909904160209e-02	9.048105219983960945e-02	1.097384995918710304e+00
1.000000000000000000e+01	1.200000000000000000e+03	9.911515605841368648e-02	9.031940151089472291e-02	1.097384995918711637e+00
1.000000000000000000e+01	1.400000000000000000e+03	9.900078235956463746e-02	9.021517765210827766e-02	1.097384995918711192e+00
1.000000000000000000e+01	1.600000000000000000e+03	9.887027767147973933e-02	9.009625431292425657e-02	1.097384995918713191e+00
1.000000000000000000e+01	1.800000000000000000e+03	9.852607433765407652e-02	8.978259654003188650e-02	1.097384995918710082e+00
1.000000000000000000e+01	2.000000000000000000e+03	9.748424809441876004e-02	8.883322485451576600e-02	1.097384995918711414e+00
1.000000000000000000e+01	2.200000000000000000e+03	9.485390760828872614e-02	8.643630809703088669e-02	1.097384995918711414e+00
1.000000000000000000e+01	2.400000000000000000e+03	8.949673998744547831e-02	8.155455042696327372e-02	1.097384995918711859e+00
1.500000000000000000e+01	6.000000000000000000e+02	1.003219820142802060e-01	9.141913037574590783e-02	1.097384995918712969e+00
1.500000000000000000e+01	8.000000000000000000e+02	9.961827397750046276e-02	9.077787134687567705e-02	1.097384995918711192e+00
1.500000000000000000e+01	1.000000000000000000e+03	9.929254909904160209e-02	9.048105219983960945e-02	1.097384995918710304e+00
1.500000000000000000e+01	1.200000000000000000e+03	9.911515605841397791e-02	9.031940151089472291e-02	1.097384995918714967e+00
1.500000000000000000e+01	1.400000000000000000e+03	9.900078235956459582e-02	9.021517765210827766e-02	1.097384995918710526e+00
1.500000000000000000e+01	1.600000000000000000e+03	9.887027767147969770e-02	9.009625431292425657e-02	1.097384995918712747e+00
1.500000000000000000e+01	1.800000000000000000e+03	9.852607433765396550e-02	8.978259654003188650e-02	1.097384995918708750e+00
1.500000000000000000e+01	2.000000000000000000e+03	9.748424809441864902e-02	8.883322485451576600e-02	1.097384995918710304e+00
1.500000000000000000e+01	2.200000000000000000e+03	9.485390760828880941e-02	8.643630809703088669e-02	1.097384995918712525e+00
1.500000000000000000e+01	2.400000000000000000e+03	8.949673998744558934e-02	8.155455042696327372e-02	1.097384995918713191e+00
2.000000000000000000e+01	6.000000000000000000e+02	1.003219820142804003e-01	9.141913037574590783e-02	1.097384995918714967e+00
2.000000000000000000e+01	8.000000000000000000e+02	9.961827397750080970e-02	9.077787134687567705e-02	1.097384995918715189e+00
2.000000000000000000e+01	1.000000000000000000e+03	9.929254909904181026e-02	9.048105219983960945e-02	1.097384995918712525e+00
2.000000000000000000e+01	1.200000000000000000e+03	9.911515605841374199e-02	9.031940151089472291e-02	1.097384995918712303e+00
2.000000000000000000e+01	1.400000000000000000e+03	9.900078235956498440e-02	9.021517765210827766e-02	1.097384995918714967e+00
2.000000000000000000e+01	1.600000000000000000e+03	9.887027767147954505e-02	9.009625431292425657e-02	1.097384995918711192e+00
2.000000000000000000e+01	1.800000000000000000e+03	9.852607433765389611e-02	8.978259654003188650e-02	1.097384995918707862e+00
2.000000000000000000e+01	2.000000000000000000e+03	9.748424809441877392e-02	8.883322485451576600e-02	1.097384995918711637e+00
2.000000000000000000e+01	2.200000000000000000e+03	9.485390760828867063e-02	8.643630809703088669e-02	1.097384995918710748e+00
2.000000000000000000e+01	2.400000000000000000e+03	8.949673998744565873e-02	8.155455042696327372e-02	1.097384995918714079e+00
2.500000000000000000e+01	6.000000000000000000e+02	1.003219820142801921e-01	9.141913037574590783e-02	1.097384995918712747e+00
2.500000000000000000e+01	8.000000000000000000e+02	9.961827397750067092e-02	9.077787134687567705e-02	1.097384995918713635e+00
2.500000000000000000e+01	1.000000000000000000e+03	9.929254909904189352e-02	9.048105219983960945e-02	1.097384995918713413e+00
